,1
20,"['산업', '직무', '활용', '대부분', '데이터', '분석', '통계학', '이론', '기초', '교양', '수강', '경영관리데이터', '수요예측', '품질관리데이터', 'R&D알앤디', '연구', '데이터', '다양', '직무', '데이터', '분석', '업무', '목적', '구성', '통계학', '개념', '기초', '프로그램', '개요', '데이터', '전처리', '데이터', '분석', '프로젝트', '활용', '통계', '분석', '심화', '구성', '통계학', '기초', '개념', '이해', '통계', '분석', '프로그램', '활용', '데이터', '분석', '프로젝트', '진행', '경영', '품질', '수요예측', 'R&D알앤디', '다양', '산업', '직무', '통계', '방법', '응용']"
21,"['의사소통', '실생활', '의사', '소통', '도구', '이것', '어려움', '어려움', '이론', '방법', '언어', '활동', '이론', '습득', '이론', '습득', '방법', '이론', '바탕', '실전', '발표', '토론', '대화', '진행']"
22,"['교과', '우리', '사회', '요구', '능력', '리더', '요건', '제시', '창조', '비판', '사유능력', '정확', '표현', '능력', '마련', '교과', '대상', '세계', '인간', '인식', '연습', '창조', '비판', '표현', '훈련', '지속', '실행', '세계', '사회', '개성', '한편', '비판', '성찰', '능력', '글쓰기', '창조', '논리', '표현', '능력', '실시간', '화상', '중심', '진행']"
23,"['20세기', '21세기', '초반', '현대음악', '음악', '다양', '어법', '양식', '특성', '그것', '탄생', '역사', '문화', '미학', '맥락', '이해', '중간고사', '이전', '20세기', '초반', '유럽', '미국', '모더니즘', '음악', '전반', '중간고사', '이후', '세계', '대전', '이후', '테크놀로지', '시대', '다양', '음악', '시도', '포스트', '모던', '양상', '대표', '작곡가', '작품', '감상', '이해', '우리', '시대', '세기', '21세기', '초반', '현대음악', '현대음악', '서양', '고전', '음악', '고전', '음악', '어법', '양식', '독창', '특성', '음악', '마인드', '요구', '음원', '파일', '동영상', '자료', '악보', '사진', '그림', '이미지', '자료', '시청각', '자료', '활용', '음악', '가능', '접근', '진행', '영상', '진행', '중간고사', '사회', '거리', '두기', '단계', '단계', '대면시험', '단계', '실시', '시스템', '영상', '업로드', '해당', '주차', '내용', '요약', '정리', '주차', '준비', '예습', '과제', '제공', '수강', '기간', '동안', '과제', '시스템', '과제', '답안', '영상', '기간', '수강', '여부', '수강', '영상', '과제', '답안', '자발', '주체', '활동', '영상', '자료', '시스템', '콘텐츠', '항목', '확인', '수강', '교수자', '신속', '원활', '의사소통', '토론', '게시판', '메시', '지창', '이메일', '적극', '활용', '운영', '구체', '스케줄', '과제', '계획서', '파일', '참조']"
24,"['장고', '소고', '꽹과리', '한국', '민속', '타악기', '타법', '기능', '훈련', '목적', '개설', '한국', '전통', '타악기', '장고', '한국', '음악', '리듬', '습득', '한국', '음악', '특징', '인지', '한국예술', '우수', '생각', '시간']"
25,"['강좌', '일상', '생활', '최소한', '법률', '지식', '비법대생', '이해', '전달', '목적', '권리보호', '각종', '방법', '소개', '법률', '문제', '적극', '해결', '법학', '입문', '지식', '원리', '학생', '법률', '기초', '지식', '교육', '법치', '국가', '국민', '법률', '소양', '지성인', '양육', '비법대생', '법률', '지식', '함양', '토대', '실정법', '권리행사', '구제방법', '실생활', '문제', '해결', '방법', '사례']"
26,"['물리학', '과학', '분야', '전문가', '이론', '인식', '물리학', '우리', '세상', '이해', '필요', '소양', '하나', '이번', '물리학', '지식', '물리학', '관점', '우리', '사회', '우리', '세상', '우리', '일상', '내면', '철학', '고민', '우리', '빅뱅', '이후', '세월', '동안', '자연', '과학', '법칙', '물리', '법칙', '거대', '자연', '우주', '우리', '우주', '우리', '일상', '물리', '법칙', '이', '우리', '물리', '법칙', '평생', '인간', '체감', '미시', '거시', '스케일', '물리', '법칙', '인식', '이번', '우리', '거대', '우주', '물리', '법칙', '우리', '일상', '체감', '그간', '인식', '일상', '물리학', '존재', '인식', '시간']"
27,"['지구', '태양계', '행성', '하나', '생물', '구성', '상호', '밀접', '연관', '관계', '지구', '생성', '이래', '자연', '변화', '지구', '생성', '과정', '지구', '내부', '구조', '구성', '물질', '광물', '암석', '생성', '과정', '분류', '구조', '형성', '변형', '지표', '변화', '과정', '시대', '구분', '개괄', '상기', '지구', '구성', '요소', '내용', '숙지', '상호', '작용', '총괄', '이해', '급변', '현대', '주도', '대학인', '최소한', '지구', '과학', '이해', '제공', '수강', '지구', '과학', '학생', '지구', '역사', '복원', '필요', '최소한', '지질학', '기록', '중요', '정보', '해석', '능력', '배양']"
28,"['댄스스포츠', '본래', '민속', '무용', '궁중', '무용', '올드', '타임', '댄스', '댄스', '단어', '변화', '중세', '사교', '목적', '댄스', '성행', '실체', '내용', '현재', '규정', '예술', '체계', '댄스스포츠', '예의', '질서', '도덕', '가치', '파트너', '호흡', '때문', '대인', '관계', '능력', '댄스스포츠', '신체', '활동', '표현', '감각', '체험', '신체', '정신', '건강', '예술', '습득', '음악', '댄스스포츠', '자신', '감정', '신체', '표현', '방법', '광저우', '아시안', '게임', '정식', '종목', '채택', '댄스스포츠', '예술', '영역', '스포츠', '영역', '포괄', '종목', '스포츠', '예술', '시간', '예술', '공간', '예술', '시각', '예술', '예술', '연계', '종합', '예술', '제시', '첫째', '대학생', '유지', '건강', '신체', '둘째', '상대', '배려', '매너', '대인', '관계', '능력', '향상', '셋째', '음악', '움직임', '정신', '건강', '감각', '향상']"
29,"['댄스스포츠', '본래', '민속', '무용', '궁중', '무용', '올드', '타임', '댄스', '댄스', '단어', '변화', '중세', '사교', '목적', '댄스', '성행', '실체', '내용', '현재', '규정', '예술', '체계', '예의', '질서', '도덕', '가치', '파트너', '호흡', '때문', '대인', '관계', '능력', '댄스스포츠', '신체', '활동', '표현', '감각', '체험', '신체', '정신', '건강', '예술', '습득', '음악', '댄스스포츠', '자신', '감정', '신체', '표현', '방법', '대면', '진행', '광저우', '아시안', '게임', '정식', '종목', '채택', '댄스스포츠', '예술', '영역', '스포츠', '영역', '포괄', '종목', '스포츠', '예술', '시간', '예술', '공간', '예술', '시각', '예술', '예술', '연계', '종합', '예술', '제시', '첫째', '대학생', '유지', '건강', '신체', '둘째', '상대', '배려', '매너', '대인', '관계', '능력', '향상', '셋째', '음악', '움직임', '정신', '건강', '감각', '향상']"
30,"['생활', '스포츠', '자리매김', '골프', '누구', '과학', '체계', '골프', '전반', '기초', '이론', '실습', '생활스포츠', '제반', '기술', '함양', '교육', '단계', '초보', '기술', '전략', '부분', '기초', '정확', '정보', '각각', '기술', '실행', '도움', '기초', '원리', '응용', '기술', '코스', '분석', '그것', '기술', '구사', '실수', '최소', '잠재', '능력', '최대', '최종']"
31,"['생활', '스포츠', '자리매김', '골프', '누구', '과학', '체계', '골프', '전반', '기초', '이론', '실습', '생활스포츠', '제반', '기술', '함양', '교육', '단계', '초보', '기술', '전략', '부분', '기초', '정확', '정보', '각각', '기술', '실행', '도움', '기초', '원리', '응용', '기술', '코스', '분석', '그것', '기술', '구사', '실수', '최소', '잠재', '능력', '최대', '최종']"
