,과목번호,과목명,교수명,수업코드,평점
296,312,교양태권도및호신술,김현,20135,2.20
297,313,디지털포트폴리오,백대은,20136,0.00
298,314,ERICA창의나눔프로젝트,오세풍,20137,2.86
299,315,나를찾아가는여행,최경원,20138,3.85
300,316,동서양철학과인권의식,구태환,20139,4.38
301,317,생활속의인권,이희종,20140,4.08
302,318,뉴스영어따라잡기,민현석,20141,4.60
303,319,로봇과드론의이해(클러스터),금동준,20142,4.71
304,320,빅데이터이해와분석(ADsP)(클러스터),조미행,20143,3.62
305,321,TED_Talks_영어,국지연,20144,2.50
306,322,IoT이해와활용,조상욱,20145,0.00
307,323,K-POP비즈니스의세계,김성한,20146,3.92
308,324,YouTube로읽는트렌드,김환,20147,0.00
309,325,가치관과정의,이선희,20148,0.00
310,326,고급영어작문,한승훈,20150,1.50
311,327,관계의기술,김정은,20151,4.45
312,328,교양스페인어,성아영,20152,4.50
313,329,교양스페인어,성아영,20153,4.50
314,330,교양스페인어,성아영,20154,4.50
315,331,교양일본어,지호순,20155,4.80
316,332,교양일본어,장혜진,20156,2.64
317,333,교양크로스컨트리,어경태,20157,5.00
318,334,교양태권도,조혜수,20158,0.00
319,335,교양프랑스어,김이정,20159,0.00
320,336,교양프랑스어,노희진,20160,0.00
321,337,교양피트니스트레이닝,김현,20161,3.17
322,338,교양피트니스트레이닝,김현,20162,3.17
323,339,글로벌엔터테인먼트의세계,홍일한,20163,4.60
324,340,기업가정신과미래설계(해동메이커스),신만재,20164,0.00
325,341,논리적으로생각하는능력,강규호,20165,0.00
326,342,뉴스바로보기,정지영,20166,3.57
327,343,다문화와열린사회,김혜수,20167,0.00
328,344,대학생을위한실용금융,윤대광,20168,0.00
329,345,도시와건축,박석중,20169,4.40
330,346,동양근현대사,박성준,20170,4.81
331,347,동양사상의이해,오순화,20171,2.89
332,348,디지털미디어리터러시,김효경,20172,1.29
333,349,딥러닝의원리와활용,유경선,20173,4.75
334,350,린스타트업프로세스(해동메이커스),강달철,20174,0.00
335,351,문명과건설환경,최동호,20175,3.74
336,352,문화콘텐츠로읽는페미니즘,서은영,20176,4.17
337,353,뮤지컬의세계,손소희,20177,3.11
338,354,미술로시대읽기,강은주,20178,4.58
339,355,미학입문,오윤정,20179,0.00
340,356,불확실한세상과통계학,조용현,20180,4.60
341,357,스타트업UI/UX,심규병,20181,3.00
342,358,빅데이터의기초(클러스터),조미행,20182,4.50
343,359,서양근현대사,최재호,20183,4.67
344,360,서양사상의이해,김상연,20184,4.29
345,361,소통의수사학,김효은,20185,3.22
346,362,소프트웨어와인문비평,오영진,20186,4.33
347,363,스타트업성장컨설팅(해동메이커스),유수호,20187,3.00
348,364,스페인사회와문화,고슬기,20188,3.93
349,365,스페인사회와문화,고슬기,20189,3.93
350,366,시민의식과불평등,김혜수,20190,4.58
351,367,실용스페인어,고슬기,20191,3.00
352,368,실전창업(해동메이커스),조영호,20192,4.67
353,369,애니메이션세미나,서은영,20193,4.10
354,370,연극의세계,정명문,20194,3.79
355,371,영문법의이해,민현석,20195,5.00
356,372,영미사회와문화,오세풍,20196,3.00
357,373,영화속심리학,김정은,20197,4.64
358,374,영화의세계,김영재,20198,4.67
359,375,운동과웰니스,조명희,20199,5.00
360,376,운동과웰니스,인희교,20200,4.57
361,377,웹툰의세계,서은영,20201,3.56
362,378,인공지능입문,유경선,20203,4.75
363,379,자연과건축,박석중,20204,4.21
364,380,장르문학의역사,전혜진,20205,4.28
365,381,전쟁으로읽는유럽사,최재호,20206,3.83
366,382,정신건강과현대사회,김정은,20207,4.35
367,383,중국사회와문화,이수진,20208,0.00
368,384,철학입문,김상연,20209,4.38
369,385,크리에이티브비디오,전동표,20210,2.33
370,386,키치와팝아트,오영진,20211,4.38
371,387,토론과협상,김지아,20212,4.73
372,388,프랑스사회와문화,이숙은,20213,4.22
373,389,프레젠테이션전략,박수진,20214,4.57
374,390,프레젠테이션전략,박수진,20215,4.57
375,391,한국의문화와역사,정갑준,20216,0.00
376,392,현대사회와페미니즘,이원철,20217,3.85
377,393,현대사회와페미니즘,이원철,20218,3.85
378,394,교양심화프랑스어,문규영,20219,0.00
379,395,그림책테라피,조민영,20220,5.00
380,396,그림책테라피,조민영,20221,5.00
381,397,기억력과학습전략,이혜정,20222,5.00
382,398,문화와노동인권,성창기,20223,0.00
383,399,사회적소수자와인권,우충완,20224,3.50
384,400,경영컨설팅으로의초대,김태형,20225,5.00
385,401,장애와미디어교육,우충완,20226,4.80
386,402,젠더혁신프로젝트,장지영,20227,4.00
387,403,치료음악의세계,손소희,20228,4.50
388,404,국제분쟁과미디어,강경란,20229,0.00
389,405,디자인으로생각뒤집기,연혜란,20230,2.00
390,406,셰익스피어심리학,장진태,20231,0.00
391,407,인류사회를변화시킨패션의힘,정연이,20232,4.00
392,409,크리에이티브제안서기획,이상록,20234,0.00
393,410,현대사회의비판적이해,성창기,20235,0.00
394,411,현대우주탐사및추진시스템기초,류근,20236,0.00
395,412,K-POP한국어,남궁정,20237,0.00
396,413,K-POP한국어,이미옥,20238,0.00
397,414,K-POP한국어,한승희,20239,0.00
398,415,아카데믹한국어듣기말하기,남궁정,20247,0.00
399,416,아카데믹한국어듣기말하기,김양희,20248,0.00
400,417,아카데믹한국어듣기말하기,정혜진,20249,0.00
401,418,아카데믹한국어읽기쓰기,김태경,20257,0.00
402,419,아카데믹한국어읽기쓰기,이원희,20258,0.00
403,420,아카데믹한국어읽기쓰기,한승희,20259,0.00
404,421,한국어듣기말하기,김태경,20267,0.00
405,422,한국어듣기말하기,정혜진,20268,0.00
406,423,한국어듣기말하기,허금주,20269,0.00
407,424,한국어읽기쓰기,남궁정,20277,0.00
408,425,한국어읽기쓰기,김양희,20278,0.00
409,426,한국어읽기쓰기,한승희,20279,0.00
410,427,일본사회와문화,김지영,20287,2.64
411,428,실용일본어,지호순,20288,4.67
412,429,문화콘텐츠스토리텔링전략,송화,20293,4.19
413,430,문화기술과사회변동,두일철,20294,3.93
414,431,학술영어1:통합,김석훈,20296,0.00
415,432,서양근현대사,유영호,20297,3.50
416,433,전쟁으로읽는유럽사,유영호,20298,0.00
417,455,학술영어1:통합,Amy Leigh Redding,22975,4.73
418,456,IC-PBL과비전설계,이승환,22992,0.00
419,457,아카데믹글쓰기,강경화,23000,4.63
420,458,인공지능과미래사회,조문기,23002,0.00
421,459,인공지능과미래사회,조상욱,23003,4.80
422,460,학술영어1:통합,Michael James Satterthwaite,23004,4.31
423,461,IC-PBL과비전설계,김남욱,23022,0.00
424,462,인공지능과미래사회,최병규,23029,4.33
425,463,IC-PBL과비전설계,허선,23037,0.00
426,464,인공지능과미래사회,송원선,23045,0.00
427,465,IC-PBL과비전설계,임동우,23054,0.00
428,466,인공지능과미래사회,조문기,23060,0.00
429,467,IC-PBL과비전설계,서원호,23070,0.00
430,468,아카데믹글쓰기,김태경,23078,4.70
431,469,인공지능과미래사회,송원선,23080,0.00
432,470,인공지능과미래사회,최병규,23081,4.33
433,471,IC-PBL과비전설계,노삼영,23086,0.00
434,472,IC-PBL과취창업을위한진로탐색,유제흥,23094,3.86
435,473,학술영어1:통합,George Gregory Young,23103,4.86
436,474,초급중국어,한승,23104,4.80
437,475,IC-PBL과비전설계,김상진,23114,5.00
438,476,IC-PBL과비전설계,김치호,23127,0.00
439,477,초급중국어,이승희,23139,4.67
440,478,IC-PBL과비전설계,한희창,23140,0.00
441,479,IC-PBL과비전설계,김명희,23160,5.00
442,480,학술영어1:통합,Andrew Graham Cater,23178,4.25
443,481,IC-PBL과비전설계,윤성호,23194,0.00
444,482,초급중국어,WU XIAOLI,23234,3.00
445,483,IC-PBL과비전설계,백승현,23237,0.00
446,484,IC-PBL과비전설계,최양호,23266,0.00
447,485,인공지능과미래사회,홍성문,23274,0.00
448,486,IC-PBL과비전설계,신규식,23283,0.00
449,487,IC-PBL과비전설계,양성일,23297,0.00
450,488,학술영어1:통합,George Gregory Young,23305,4.86
451,489,초급중국어,김억섭,23307,0.00
452,490,IC-PBL과비전설계,이성욱,23308,4.00
453,491,학술영어1:통합,Nina K. Iscovitz,23316,3.10
454,492,초급중국어,이수진,23317,4.14
455,493,IC-PBL과비전설계,이형규,23326,0.00
456,494,IC-PBL과비전설계,송지성,23342,0.00
457,495,인공지능과미래사회,조상욱,23349,4.80
458,496,학술영어1:통합,Amanda Marie Dow,23373,3.00
459,497,초급중국어,정민경,23375,4.40
460,498,IC-PBL과비전설계,한미정,23377,5.00
461,499,아카데믹글쓰기,조은정,23391,4.25
462,500,인공지능과미래사회,조문기,23395,0.00
463,501,인공지능과미래사회,홍성문,23396,0.00
464,502,인공지능과미래사회,조상욱,23397,4.80
465,503,인공지능과미래사회,조문기,23398,0.00
466,504,학술영어1:통합,Amanda Marie Dow,23399,3.00
467,505,IC-PBL과비전설계,고현석,23431,0.00
468,506,아카데믹글쓰기,강경화,23447,4.63
469,507,인공지능과미래사회,조문기,23449,0.00
470,508,인공지능과미래사회,송원선,23450,0.00
471,509,학술영어1:통합,Andrew Graham Cater,23451,4.25
